lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
aparecer	2	sí	7.1507	1	253.595	33	184.642	36	255.728	26	531.415	37
busca	2	sí	4.954	1	1.3169	1	0.4332	1	22.575	3	26.3283	2
arena	2	sí	93.5278	5	21.104	4	33.742	8	29.4042	3	26.3283	2
volar	2	sí	43.5543	3	76.5197	15	50.1721	10	35.8987	5	221.195	14
forma	2	sí	250.496	11	268.736	32	594.95	75	779.63	67	893.151	52
mirabell	2	no										
nombre	2	sí	774.218	21	549.664	49	392.526	59	439.056	38	1280.48	42
rayo	2	sí	0	0	6.939	2	10.0498	3	10.454	2	0	0
llovizna	2	no										
significar	2	sí	235.985	10	329.939	30	299.045	34	250.048	22	409.294	22
positivo	2	sí	20.7186	2	19.7943	7	40.9628	15	131.415	12	103.119	8
saber él	2	no										
cumplir	2	sí	46.635	4	50.2766	9	50.3488	12	232.58	24	314.784	23
nubar	2	no										
voz	2	sí	92.5306	7	192.418	26	268.789	39	166.653	16	228.613	15
misterioso	2	sí	23.1041	2	26.4531	5	84.8452	13	3.4456	1	0	0
trueno	2	sí	0	0	0	0	1.4449	2	0	0	0	0
historia	2	sí	864.956	35	737.439	68	764.668	91	549.715	49	571.879	30
tomé	2	no										
sombrilla	2	no										
sonido	2	sí	14.3013	1	9.669	3	121.317	19	72.3371	8	65.54	5
profecía	2	sí	0	0	0	0	5.3024	2	0	0	102.094	2
pez	2	sí	10.0891	2	13.3618	3	14.7368	4	36.7026	5	250.585	12
quedar	2	sí	480.684	28	774.584	95	823.59	123	888.573	87	713.397	49
ensueño	2	no										
agonizar	2	sí	0	0	0	0	0.7908	1	0	0	0	0
actuar	2	sí	93.6409	5	50.413	8	86.7085	15	119.195	14	107.752	9
crema	2	sí	93.1099	5	19.258	4	8.8125	4	48.9368	5	34.0313	3
señora	2	no										
odiar	2	sí	9.9079	2	53.5317	10	41.0671	9	3.4456	1	61.1128	3
sal	2	sí	78.8784	5	70.4019	14	92.7145	14	72.4483	5	38.8023	3
asustar	2	sí	4.954	1	21.3922	6	47.6072	11	0	0	28.4142	2
cerca	2	sí	641.515	22	360.944	43	134.62	23	140.637	12	208.894	14
misterio	2	sí	0	0	7.0409	2	22.1699	6	3.4744	1	26.3283	2
ayudarte	2	no										
muestro	2	no										
mariposa	2	sí	9.9079	1	20.8234	5	1.2931	1	2.2844	1	0	0
pelear	2	sí	7.1507	1	5.8831	2	9.9699	3	35.8219	5	37.8856	4
tién	2	no										
ves	2	no										
egoísta	2	sí	0	0	0	0	2.2836	1	3.4456	1	0	0
brotar	2	sí	0	0	0	0	0	0	3.4744	1	8.5078	1
sentimiento	2	sí	82.3145	5	1.0067	1	46.9779	10	71.6438	8	155.209	12
jacaranda	2	no										
enredar	2	sí	0	0	0	0	0	0	0	0	9.4714	1
cera	2	sí	0	0	1.3169	1	0	0	2.2844	1	26.3283	2
aire	2	sí	93.8641	7	203.011	23	190.694	31	142.244	13	233.504	12
